date,factor_id,N,p,ridge_alpha,R2,rmse,fail,reason,date_factor,alpha
2022-12-26,f151,0,45,1e-06,,,1,all-NaN,2022-12-26_f151,
2022-12-26,f152,0,45,1e-06,,,1,all-NaN,2022-12-26_f152,
2022-12-26,f153,0,45,1e-06,,,1,all-NaN,2022-12-26_f153,
2022-12-26,f154,0,45,1e-06,,,1,all-NaN,2022-12-26_f154,
2022-12-26,f155,0,45,1e-06,,,1,all-NaN,2022-12-26_f155,
2022-12-26,f156,0,45,1e-06,,,1,all-NaN,2022-12-26_f156,
2022-12-26,f157,0,45,1e-06,,,1,all-NaN,2022-12-26_f157,
2022-12-26,f158,0,45,1e-06,,,1,all-NaN,2022-12-26_f158,
2022-12-26,f159,0,45,1e-06,,,1,all-NaN,2022-12-26_f159,
2022-12-26,f16,0,45,1e-06,,,1,all-NaN,2022-12-26_f16,
2022-12-26,f160,0,45,1e-06,,,1,all-NaN,2022-12-26_f160,
2022-12-26,f161,0,45,1e-06,,,1,all-NaN,2022-12-26_f161,
2022-12-26,f162,0,45,1e-06,,,1,all-NaN,2022-12-26_f162,
2022-12-26,f163,0,45,1e-06,,,1,all-NaN,2022-12-26_f163,
2022-12-26,f164,0,45,1e-06,,,1,all-NaN,2022-12-26_f164,
2022-12-26,f165,0,45,1e-06,,,1,all-NaN,2022-12-26_f165,
2022-12-26,f166,0,45,1e-06,,,1,all-NaN,2022-12-26_f166,
2022-12-26,f167,0,45,1e-06,,,1,all-NaN,2022-12-26_f167,
2022-12-26,f168,0,45,1e-06,,,1,all-NaN,2022-12-26_f168,
2022-12-26,f169,0,45,1e-06,,,1,all-NaN,2022-12-26_f169,
2022-12-26,f17,0,45,1e-06,,,1,all-NaN,2022-12-26_f17,
2022-12-26,f170,0,45,1e-06,,,1,all-NaN,2022-12-26_f170,
2022-12-26,f171,0,45,1e-06,,,1,all-NaN,2022-12-26_f171,
2022-12-26,f172,0,45,1e-06,,,1,all-NaN,2022-12-26_f172,
2022-12-26,f173,0,45,1e-06,,,1,all-NaN,2022-12-26_f173,
2022-12-26,f174,0,45,1e-06,,,1,all-NaN,2022-12-26_f174,
2022-12-26,f175,0,45,1e-06,,,1,all-NaN,2022-12-26_f175,
2022-12-26,f176,0,45,1e-06,,,1,all-NaN,2022-12-26_f176,
2022-12-26,f177,0,45,1e-06,,,1,all-NaN,2022-12-26_f177,
2022-12-26,f178,0,45,1e-06,,,1,all-NaN,2022-12-26_f178,
2022-12-26,f179,0,45,1e-06,,,1,all-NaN,2022-12-26_f179,
2022-12-26,f18,0,45,1e-06,,,1,all-NaN,2022-12-26_f18,
2022-12-26,f180,0,45,1e-06,,,1,all-NaN,2022-12-26_f180,
2022-12-26,f181,0,45,1e-06,,,1,all-NaN,2022-12-26_f181,
2022-12-26,f182,0,45,1e-06,,,1,all-NaN,2022-12-26_f182,
2022-12-26,f183,0,45,1e-06,,,1,all-NaN,2022-12-26_f183,
2022-12-26,f184,0,45,1e-06,,,1,all-NaN,2022-12-26_f184,
2022-12-26,f185,0,45,1e-06,,,1,all-NaN,2022-12-26_f185,
2022-12-26,f186,0,45,1e-06,,,1,all-NaN,2022-12-26_f186,
2022-12-26,f187,0,45,1e-06,,,1,all-NaN,2022-12-26_f187,
2022-12-26,f188,0,45,1e-06,,,1,all-NaN,2022-12-26_f188,
2022-12-26,f189,0,45,1e-06,,,1,all-NaN,2022-12-26_f189,
2022-12-26,f19,0,45,1e-06,,,1,all-NaN,2022-12-26_f19,
2022-12-26,f190,0,45,1e-06,,,1,all-NaN,2022-12-26_f190,
2022-12-26,f191,0,45,1e-06,,,1,all-NaN,2022-12-26_f191,
2022-12-26,f2,496,45,1e-06,0.2137132700500832,0.8876233367764838,0,,2022-12-26_f2,
2022-12-26,f20,0,45,1e-06,,,1,all-NaN,2022-12-26_f20,
2022-12-26,f21,0,45,1e-06,,,1,all-NaN,2022-12-26_f21,
2022-12-26,f22,0,45,1e-06,,,1,all-NaN,2022-12-26_f22,
2022-12-26,f23,0,45,1e-06,,,1,all-NaN,2022-12-26_f23,
2022-12-26,f24,0,45,1e-06,,,1,all-NaN,2022-12-26_f24,
2022-12-26,f25,0,45,1e-06,,,1,all-NaN,2022-12-26_f25,
2022-12-26,f26,0,45,1e-06,,,1,all-NaN,2022-12-26_f26,
2022-12-26,f27,0,45,1e-06,,,1,all-NaN,2022-12-26_f27,
2022-12-26,f28,0,45,1e-06,,,1,all-NaN,2022-12-26_f28,
2022-12-26,f29,0,45,1e-06,,,1,all-NaN,2022-12-26_f29,
